"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
1,1,0.4,0.1,0,5,100,0,0,0,5.9,6,6
3,1,0.4,0.1,0,5,100,0,0,0,7.9,8,8
7,1,0.4,0.1,0,5,100,0,0,0,11.9,12,12
12,1,0.4,0.1,0,5,100,0,0,0,16.9,17,17
15,1,0.4,0.1,0,5,100,0,0,0,19.9,20,20
0,3,0.4,0.1,0,5,100,0.463937848719771,0,0.576832874381967,6.6304986231459,6.7304986231459,5
1,3,0.4,0.1,0,5,100,0.206146605885829,0,0.576485809132454,7.05297161826491,7.72945742739736,6
3,3,0.4,0.1,0,5,100,0,0,0,7.9,8,8
7,3,0.4,0.1,0,5,100,0,0,0,11.9,12,12
12,3,0.4,0.1,0,5,100,0,0,0,16.9,17,17
15,3,0.4,0.1,0,5,100,0,0,0,19.9,20,20
0,7,0.4,0.1,0,5,100,0.558741363135952,0,0.553661751738826,8.77563226217178,8.87563226217178,5
1,7,0.4,0.1,0,5,100,0.36367568339267,0,0.541344634464546,9.14806780678728,9.78941244125182,6
3,7,0.4,0.1,0,5,100,0.188960943196685,0,0.547929796031862,10.0917191841274,11.835508572223,8
7,7,0.4,0.1,0,5,100,0.376970260304966,5.50000636999493,0.247379272133763,13.000001273999,12.6316536309374,12
12,7,0.4,0.1,0,5,100,0.93041316516381,29.8493187873697,0.524903220761577,17.9498064415232,17,17
15,7,0.4,0.1,0,5,100,0,0,0,19.9,20,20
0,12,0.4,0.1,0,5,100,0.609243230551749,0,0.543780377579955,11.4253645309595,11.5253645309595,5
1,12,0.4,0.1,0,5,100,0.443315116453875,0,0.531010968866051,11.7411206575266,12.3721316263926,6
3,12,0.4,0.1,0,5,100,0.300536339403226,0,0.529907586912352,12.6691682822112,14.3588910429482,8
7,12,0.4,0.1,0,5,100,0.129592873421191,0,0.541358516138588,14.6067925806929,18.4963021936631,12
