"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return"
1,1,0.9,0.5,0,5,100,0,0,0,20.3121699752322,5.5,6.1,6
3,1,0.9,0.5,0,5,100,0,0,0,20.3121699752322,7.3,8.1,8
7,1,0.9,0.5,0,5,100,0,0,0,20.3121699752322,10.9,12.1,12
12,1,0.9,0.5,0,5,100,0,0,0,20.3121699752322,15.4,17.1,17
15,1,0.9,0.5,0,5,100,0,0,0,20.3121699752322,18.1,20.1,20
0,3,0.9,0.5,0,5,100,0.2279709046526,0,0.672470883823475,20.3121699752322,4.8,5.3,5
1,3,0.9,0.5,0,5,100,0.339890713737621,0.666696006873634,0.447177393888772,20.3121699752322,6.16668720481154,6.16666079862527,6
3,3,0.9,0.5,0,5,100,0.140128908191367,0.98895083525264,0.180362368383191,20.3121699752322,8.19226558467685,8.10220983294947,8
7,3,0.9,0.5,0,5,100,0.0297029702970297,1.33337265917134,0.09,20.3121699752322,12.0333608614199,12.0333254681657,12
12,3,0.9,0.5,0,5,100,0,0,0,20.3121699752322,15.6,17.3,17
15,3,0.9,0.5,0,5,100,0,0,0,20.3121699752322,18.3,20.3,20
0,7,0.9,0.5,0,5,100,0.36218187419906,0,0.610219700217939,20.3121699752322,5.2,5.7,5
1,7,0.9,0.5,0,5,100,0.461095719570338,0.622230576947722,0.471654034946045,20.3121699752322,6.53556140386341,6.57555388461046,6
3,7,0.9,0.5,0,5,100,0.345388261315522,0.922235141464497,0.390483334605146,20.3121699752322,8.54556459902515,8.5155529717071,8
7,7,0.9,0.5,0,5,100,0.202827791904811,1.72223612756139,0.199596466772354,20.3121699752322,12.705565289293,12.3555527744877,12
12,7,0.9,0.5,0,5,100,0.0967199721001428,2.02226303603161,0.0748908114451743,20.3121699752322,17.4155841252221,17.2955473927937,17
15,7,0.9,0.5,0,5,100,0.0720355697311822,2.22224279655775,0.0716157027770995,20.3121699752322,20.2555699575904,20.2555514406884,20
0,12,0.9,0.5,0,5,100,0.437040048437484,0,0.584973936743417,20.3121699752322,5.7,6.2,5
1,12,0.9,0.5,0,5,100,0.349311325433364,6.44335012978976e-05,0.57983921106369,20.3121699752322,6.60004510345091,7.19998711329974,6
3,12,0.9,0.5,0,5,100,0.404761274141062,0.788895232320448,0.437806260592136,20.3121699752322,8.95222666262431,9.04222095353591,8
7,12,0.9,0.5,0,5,100,0.301442490307018,1.48889041530777,0.348693111975376,20.3121699752322,13.0422232907154,12.9022219169384,12
